一二	1~2
二三	2~3
三四	3~4
三五	3~5
四五	4~5
五六	5~6
六七	6~7
七八	7~8
八九	8~9
一二十	10~20
二三十	20~30
三四十	30~40
三五十	30~50
四五十	40~50
五六十	50~60
六七十	60~70
七八十	70~80
八九十	80~90
一二百	100~200
一两百	100~200
二三百	200~300
两三百	200~300
三四百	300~400
三五百	300~500
四五百	400~500
五六百	500~600
六七百	600~700
七八百	700~800
八九百	800~900
一二千	1000~2000
一两千	1000~2000
二三千	2000~3000
两三千	2000~3000
三四千	3000~4000
三五千	3000~5000
四五千	4000~5000
五六千	5000~6000
六七千	6000~7000
七八千	7000~8000
八九千	8000~9000
十一二	11、12
十二三	12、13
十三四	13、14
十四五	14、15
十五六	15、16
十六七	16、17
十七八	17、18
十八九	18、19
十一二三	11、12、13
十二三四	12、13、14
十三四五	13、14、15
十四五六	14、15、16
十五六七	15、16、17
十六七八	16、17、18
十七八九	17、18、19
二一二二	21、22
二二三三	22、23
二三四四	23、24
二四五五	24、25
二五六六	25、26
二六七七	26、27
二七八八	27、28
二八九九	28、29
三一三二	31、32
三二三三	32、33
三三四四	33、34
三四五五	34、35
三五六六	35、36
三六七七	36、37
三七八八	37、38
三八九九	38、39
四一四二	41、42
四二四三	42、43
四三四四	43、44
四五四五	44、45
四六四六	45、46
四七四七	46、47
四八四八	47、48
四九四九	48、49
五一五二	51、52
五二五三	52、53
五三五四	53、54
五四五五	54、55
五五六五	55、56
五七五七	56、57
五八五八	57、58
五九五九	58、59
六一六二	61、62
六二六三	62、63
六三六四	63、64
六四六五	64、65
六五六六	65、66
六六六七	66、67
六七六八	67、68
六八六九	68、69
七一七二	71、72
七二七三	72、73
七三七四	73、74
七四七五	74、75
七五七六	75、76
七六七七	76、77
七七七八	77、78
七八七九	78、79
八一八二	81、82
八二八三	82、83
八三八四	83、84
八四八五	84、85
八五八六	85、86
八六八七	86、87
八七八八	87、88
八八八九	88、89
九一九二	91、92
九二九三	92、93
九三九四	93、94
九四九五	94、95
九五九六	95、96
九六九七	96、97
九七九八	97、98
九八九九	98、99
