¢	加纳塞地
$b	玻利维亚玻利维亚诺
$U	乌拉圭比索
$	美元
£	英镑
￡	英镑
¥	元
￥	元
฿	泰铢
៛	柬埔寨瑞尔
₡	哥斯达黎加科隆
₦	尼日利亚奈拉
₩	朝鲜园
₪	以色列谢克尔
₫	越南东
€	欧元
₭	老挝基普
₮	蒙古图格里克
₱	古巴比索
₱	菲律宾比索
₴	乌克兰格里夫纳
₹	印度卢比
₺	土耳其里拉
₽	卢布
Br	白俄罗斯卢布
Bs	委内瑞拉玻利瓦尔
BZ$	伯利兹元
B/.	巴拿马巴尔博亚
C$	尼加拉瓜科尔多瓦
CHF	瑞士法郎
Ft	匈牙利福林
ƒ	阿鲁巴盾
Gs	巴拉圭瓜拉尼
J$	牙买加元
Kč	捷克克朗
KM	波斯尼亚和黑塞哥维那可兑换马克
kn	克罗地亚库纳
kr	丹麦克朗
lei	罗马尼亚列伊
Lek	阿尔巴尼亚列克
L	洪都拉斯伦皮拉
MT	莫桑比克梅蒂卡尔
NT$	新台币
P	博茨瓦纳普拉
Q	危地马拉格查尔
R$	巴西雷亚尔
RD$	多米尼加共和国比索
RM	马来西亚令吉
Rp	印尼盾
₨	巴基斯坦卢比
₨	毛里求斯卢比
R	南非兰特
S/.	秘鲁索尔
S	索马里先令
TT$	特立尼达和多巴哥元
Z$	津巴布韦元
zł	波兰兹罗提
ден	马其顿代纳尔
Дин.	塞尔维亚第纳尔
лв	乌兹别克斯坦索姆
лв	保加利亚列弗
лв	吉尔吉斯斯坦索姆
лв	哈萨克斯坦腾格
